time,title,company,county,distinct,exeperience,education,wage,url
2023/4/23,【產品團隊】資料分析工程師 Data Engineer_台北,昕力資訊股份有限公司,台北市,內湖區,2年以上,專科,45000,https://www.104.com.tw/job/76ovg?jobsource=jolist_a_relevance
2023/4/23,資訊室 POWER BI/資料分析人員,臺北市立萬芳醫院委託財團法人臺北醫學大學辦理,台北市,文山區,經歷不拘,專科,43000,https://www.104.com.tw/job/7ttnh?jobsource=jolist_a_relevance
2023/4/23,數位運營資料分析助理-總管理處,"塔木德酒店集團 Talmud Hotel Group Co.,Ltd_塔木德商務飯店股份有限公司",台中市,北區,1年以上,大學,30500,https://www.104.com.tw/job/7xdql?jobsource=jolist_a_relevance
2023/4/23,資料分析師 Data Analyst,塞席爾商悠福科技股份有限公司,台北市,中山區,經歷不拘,大學,45000,https://www.104.com.tw/job/7irvr?jobsource=jolist_a_relevance
2023/4/23,資料分析與AI演算法工程師_台達智能電網事業部(中壢),台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,桃園市,中壢區,3年以上,大學,45000,https://www.104.com.tw/job/7wrjc?jobsource=jolist_a_relevance
2023/4/23,資料分析工程師(BI),美好購物ViVa TV_ 美好家庭購物股份有限公司,台北市,南港區,3年以上,大學,45000,https://www.104.com.tw/job/7vkgg?jobsource=jolist_a_relevance
2023/4/23,Samsung【三星手機】電商平台 資料分析專員/資深專員,鵬泰顧問有限公司,台北市,內湖區,2年以上,大學,40000,https://www.104.com.tw/job/7k2bn?jobsource=jolist_a_relevance
2023/4/23,GIS空間規劃及資料分析人員 (工作地點:行政院農業委員會),一瑒空間資訊有限公司,台北市,中正區,經歷不拘,大學,37500,https://www.104.com.tw/job/7xccp?jobsource=jolist_a_relevance
2023/4/23,資料分析工程師,承研能源科技股份有限公司,台北市,內湖區,1年以上,專科,42500,https://www.104.com.tw/job/7rh8x?jobsource=jolist_a_relevance
2023/4/23,I107 資料分析/數據工程師(可遠端工作),台灣大哥大股份有限公司,台北市,大安區,經歷不拘,學歷不拘,47000,https://www.104.com.tw/job/7osnc?jobsource=jolist_a_relevance
2023/4/23,資料分析經理 【資料分析應用處/高雄】,邁達特數位股份有限公司,高雄市,左營區,5年以上,專科,45000,https://www.104.com.tw/job/7oylo?jobsource=jolist_a_relevance
2023/4/23,資料分析專員.,永慶房產集團_永慶房屋仲介股份有限公司,台北市,大安區,經歷不拘,大學,37500,https://www.104.com.tw/job/7pxat?jobsource=jolist_a_relevance
2023/4/23,通路資料分析暨行銷企劃人員,中華電信關係企業_宏華國際股份有限公司,新北市,板橋區,1年以上,大學,45000,https://www.104.com.tw/job/7ww8c?jobsource=jolist_a_relevance
2023/4/23,專案經理_ETL 資料分析主管_102H,金財通商務科技服務股份有限公司,台北市,松山區,8年以上,大學,45000,https://www.104.com.tw/job/7bdal?jobsource=jolist_a_relevance
2023/4/23,國衛院「巨量資料分析」研究助理,財團法人國家衛生研究院,苗栗縣,竹南鎮,經歷不拘,大學,34000,https://www.104.com.tw/job/76m3g?jobsource=jolist_a_relevance
2023/4/23,資料分析師(Data Analyst),衛利生物科技股份有限公司,新北市,新店區,3年以上,大學,45000,https://www.104.com.tw/job/7ibxq?jobsource=jolist_a_relevance
2023/4/23,【TNLR】Data Analyst 資料分析師,關鍵評論網股份有限公司,台北市,信義區,1年以上,大學,45000,https://www.104.com.tw/job/7kfia?jobsource=jolist_a_relevance
2023/4/23,AI工程師(資料分析),南亞電路板股份有限公司(南電),桃園市,蘆竹區,2年以上,大學,49500,https://www.104.com.tw/job/6olvl?jobsource=jolist_a_relevance
2023/4/23,三商家購-美廉社 總公司【內勤行政-資料分析專員】,美廉社_三商家購股份有限公司,台北市,中山區,1年以上,專科,30500,https://www.104.com.tw/job/6x9iz?jobsource=jolist_a_relevance
2023/4/23,門市營建發展部-資料分析專員/資深專員,台灣屈臣氏個人用品商店股份有限公司,台北市,松山區,2年以上,大學,45000,https://www.104.com.tw/job/4thhk?jobsource=jolist_a_relevance
2023/4/23,資料分析師,微星科技股份有限公司,新北市,中和區,2年以上,大學,52500,https://www.104.com.tw/job/6rok5?jobsource=jolist_a_relevance
2023/4/23,"產品專案助理(男女不拘, 具資料分析, 執行, 電腦及外語能力)",帕奇巨科技股份有限公司,新竹縣,竹北市,經歷不拘,大學,41071,https://www.104.com.tw/job/6mp9a?jobsource=jolist_a_relevance
2023/4/23,資深數據分析師 【資料分析應用處】,邁達特數位股份有限公司,台北市,內湖區,5年以上,專科,45000,https://www.104.com.tw/job/7oymm?jobsource=jolist_a_relevance
2023/4/23,研發替代役_工研院綠能所_軟體工程師/數據資料分析師(C200),工研院 _財團法人工業技術研究院,台南市,歸仁區,經歷不拘,碩士,50000,https://www.104.com.tw/job/7rq2n?jobsource=jolist_a_relevance
2023/4/23,[台北] BI / ETL/資料分析工程師,金上晉科技股份有限公司,台北市,信義區,3年以上,大學,45000,https://www.104.com.tw/job/7gnzs?jobsource=jolist_a_relevance
